index,Source airport,Destination airport,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
45948,SHJ,PEW,25.328,55.517,33.994,71.514
45950,SHJ,UET,25.328,55.517,30.251,66.938
45958,SKZ,ISB,27.722,68.792,33.616,73.099
45959,SKZ,KHI,27.722,68.792,24.906,67.161
45960,SKZ,LHE,27.722,68.792,31.521,74.403
45961,SKZ,MJD,27.722,68.792,27.335,68.143
45968,UET,ISB,30.251,66.938,33.616,73.099
45969,UET,KHI,30.251,66.938,24.906,67.161
45970,UET,LHE,30.251,66.938,31.521,74.403
45972,UET,MUX,30.251,66.938,30.203,71.419
45973,UET,PZH,30.251,66.938,31.358,69.463
45974,UET,SHJ,30.251,66.938,25.328,55.517
45976,YYZ,ISB,43.677,-79.631,33.616,73.099
45977,YYZ,KHI,43.677,-79.631,24.906,67.161
45978,YYZ,LHE,43.677,-79.631,31.521,74.403
45980,ELH,NAS,25.476,-76.681,25.039,-77.466
45981,GHB,NAS,25.284,-76.331,25.039,-77.466
45982,LGI,NAS,23.179,-75.093,25.039,-77.466
45984,NAS,ELH,25.039,-77.466,25.476,-76.681
45985,NAS,GHB,25.039,-77.466,25.284,-76.331
45986,NAS,LGI,25.039,-77.466,23.179,-75.093
45988,NAS,RSD,25.039,-77.466,24.892,-76.178
45989,NAS,SML,25.039,-77.466,23.583,-75.269
45991,NAS,ZSA,25.039,-77.466,24.063,-74.524
45993,RSD,NAS,24.892,-76.178,25.039,-77.466
45994,SML,NAS,23.583,-75.269,25.039,-77.466
45996,ZSA,NAS,24.063,-74.524,25.039,-77.466
45997,ACE,LPA,28.945,-13.605,27.932,-15.386
45999,FUE,LPA,28.453,-13.864,27.932,-15.386
46001,LPA,ACE,27.932,-15.386,28.945,-13.605
46003,LPA,FUE,27.932,-15.386,28.453,-13.864
46005,LPA,NDB,27.932,-15.386,20.928,-17.031
46006,LPA,TFN,27.932,-15.386,28.482,-16.341
46008,NDB,LPA,20.928,-17.031,27.932,-15.386
46009,SPC,TFN,28.626,-17.756,28.482,-16.341
46010,TFN,LPA,28.482,-16.341,27.932,-15.386
46011,TFN,SPC,28.482,-16.341,28.626,-17.756
46013,CAN,CKG,23.184,113.266,29.719,106.641
46014,CGO,CKG,34.519,113.841,29.719,106.641
46015,CGO,DLC,34.519,113.841,38.966,121.538
46016,CGO,FOC,34.519,113.841,25.933,119.662
46017,CGO,HRB,34.519,113.841,45.623,126.25
46020,CGO,KWL,34.519,113.841,25.218,110.039
46022,CGO,TAO,34.519,113.841,36.263,120.375
46023,CGO,URC,34.519,113.841,43.907,87.474
46025,CKG,CAN,29.719,106.641,23.184,113.266
46026,CKG,CGO,29.719,106.641,34.519,113.841
46027,CKG,CSX,29.719,106.641,28.189,113.219
46028,CKG,FOC,29.719,106.641,25.933,119.662
46031,CKG,HFE,29.719,106.641,31.78,117.298
46033,CKG,KHN,29.719,106.641,28.6,115.917
46034,CKG,KMG,29.719,106.641,24.992,102.743
46036,CKG,KWL,29.719,106.641,25.218,110.039
46037,CKG,LHW,29.719,106.641,31.889,-81.562
46040,CKG,NGB,29.719,106.641,29.825,121.465
46041,CKG,NKG,29.719,106.641,31.74,118.86
46043,CKG,SZX,29.719,106.641,22.639,113.812
46044,CKG,TAO,29.719,106.641,36.263,120.375
46046,CKG,TSN,29.719,106.641,39.124,117.346
46047,CKG,TYN,29.719,106.641,37.747,112.629
46048,CKG,URC,29.719,106.641,43.907,87.474
46049,CKG,WUH,29.719,106.641,30.784,114.208
46050,CKG,XIY,29.719,106.641,34.446,108.752
46051,CKG,XMN,29.719,106.641,24.544,118.127
46053,CSX,CKG,28.189,113.219,29.719,106.641
46054,CSX,NGB,28.189,113.219,29.825,121.465
46055,CSX,XMN,28.189,113.219,24.544,118.127
46056,DLC,CGO,38.966,121.538,34.519,113.841
46057,FOC,CGO,25.933,119.662,34.519,113.841
46058,FOC,CKG,25.933,119.662,29.719,106.641
46059,FOC,WUH,25.933,119.662,30.784,114.208
46063,HFE,CKG,31.78,117.298,29.719,106.641
46065,HRB,CGO,45.623,126.25,34.519,113.841
46070,KHN,CKG,28.6,115.917,29.719,106.641
46071,KMG,CKG,24.992,102.743,29.719,106.641
46075,KWL,CGO,25.218,110.039,34.519,113.841
46076,KWL,CKG,25.218,110.039,29.719,106.641
46077,LHW,CKG,31.889,-81.562,29.719,106.641
46078,LHW,URC,31.889,-81.562,43.907,87.474
46081,NGB,CKG,29.825,121.465,29.719,106.641
46082,NGB,CSX,29.825,121.465,28.189,113.219
46083,NKG,CKG,31.74,118.86,29.719,106.641
46087,SZX,CKG,22.639,113.812,29.719,106.641
46088,TAO,CGO,36.263,120.375,34.519,113.841
46089,TAO,CKG,36.263,120.375,29.719,106.641
46091,TSN,CKG,39.124,117.346,29.719,106.641
46092,TYN,CKG,37.747,112.629,29.719,106.641
